sampleId,stratum,currentClassification,evidence,college,title,url,policySource,policyVerifiedAt,medicalLike,manualLabel,manualEvidenceUrl,reviewer,reviewNotes
AT-012,policy-tenure-track,tenure-track,institution-policy,St Olaf College,Assistant Professor of Computer Science,https://fa-ewur-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_3/job/2735,https://fa-ewur-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_3/job/2871,2026-09-20,false,,,,
AT-013,policy-tenure-track,tenure-track,institution-policy,"Rutgers, The State University of New Jersey",Associate Professor of Transplant Surgery,https://jobs.rutgers.edu/postings/276404,https://laborrelations.rutgers.edu/sites/default/files/document/appointments_promotions_guidelines_00385501xb0a50.pdf,2026-09-16,true,,,,
AT-014,policy-tenure-track,tenure-track,institution-policy,University of Louisiana at Monroe,Assistant Professor of Biology,https://www.schooljobs.com/careers/ulm/jobs/4884122/assistant-professor-of-biology,https://www.ulm.edu/facultysenate/documents-ufs/2024-25-faculty-handbook-2025-03-27.pdf,2026-09-22,false,,,,
AT-015,policy-tenure-track,tenure-track,institution-policy,Austin Peay State University,"Assistant Professor, BSN Program",https://ibqzjb.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1001/job/401,https://www.apsu.edu/institutional-research/datadictionary.php,2026-09-21,false,,,,
AT-016,policy-tenure-track,tenure-track,institution-policy,Binghamton University,Associate Professor of Finance,https://binghamton.interviewexchange.com/jobofferdetails.jsp?JOBID=204683,https://www.suny.edu/hr/compensation/unclassified/other/academic-rank-titles/,2026-09-21,false,,,,
AT-017,policy-tenure-track,tenure-track,institution-policy,University of West Georgia,Assistant Professor Geology,https://careers.hprod.onehcm.usg.edu/psc/careers/CAREERS/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?Page=HRS_APP_SCHJOB_FL&Action=U#jobId=302648,https://provost.uga.edu/wp-content/uploads/appointment-promotion-tenure-guidelines-academic-rank-faculty.pdf,2026-09-20,false,,,,
AT-018,policy-tenure-track,tenure-track,institution-policy,Stony Brook University,"Medical Physicist, Assistant/Associate Professor, Radiation Oncology",https://apply.interfolio.com/189155,https://www.suny.edu/hr/compensation/unclassified/other/academic-rank-titles/,2026-09-21,true,,,,
AT-019,policy-tenure-track,tenure-track,institution-policy,University of Notre Dame,Victorian Literature (Associate or Full Professor),https://apply.interfolio.com/193155,https://facultyhandbook.nd.edu/assets/665079/260701_academic_articles_und.pdf,2026-09-21,false,,,,
AT-020,policy-tenure-track,tenure-track,institution-policy,"Rutgers, The State University of New Jersey",Assistant/Associate Professor,https://jobs.rutgers.edu/postings/266003,https://laborrelations.rutgers.edu/sites/default/files/document/appointments_promotions_guidelines_00385501xb0a50.pdf,2026-09-16,false,,,,
AT-021,policy-tenure-track,tenure-track,institution-policy,De Anza College,"Instructor, Paralegal",https://www.communitycollegecareerconnect.com/jobs/cmodin36p000h01odgmxtg1wq,https://www.foothill.fhda.edu/gov/academic-senate/2024-25/may19/May%2019.pdf,2026-09-20,false,,,,
AT-022,policy-tenure-track,tenure-track,institution-policy,Baylor University,"Associate Professor or Professor, Virginia and Tom Williams Endowed Chair of American Literature, Department of English",https://apply.interfolio.com/187792,https://jobs.baylor.edu/,2026-09-21,false,,,,
AT-023,policy-tenure-track,tenure-track,institution-policy,CUNY Bernard M Baruch College,Lecturer - Accounting,https://cuny.jobs/new-york-ny/lecturer-accounting/33A402692C634102827DF08396567999/job,https://psc-cuny.org/contract/article-11-classification-titles/,2026-09-15,false,,,,
AT-024,policy-tenure-track,tenure-track,institution-policy,University at Buffalo,"F250133 - Assistant or Associate Professor HS, Department of Biochemistry",https://www.ubjobs.buffalo.edu/postings/60078,https://www.suny.edu/hr/compensation/unclassified/other/academic-rank-titles/,2026-09-21,false,,,,
AT-025,policy-tenure-track,tenure-track,institution-policy,Brigham Young University,"Plant & Wildlife Sciences – Plant and Landscape Systems, CFS Professorial Faculty",https://byu.wd1.myworkdayjobs.com/faculty-careers/job/Provo-UT/Plant---Wildlife-Sciences---Plant-and-Landscape-Systems--CFS-Professorial-Faculty_JR-11145,https://policy.byu.edu/view/rank-and-status-policy,2026-09-15,false,,,,
AT-026,policy-tenure-track,tenure-track,institution-policy,University of Chicago,"Assistant Professor of Political Science, American Politics",https://academicjobs.uchicago.edu/positions/168066,https://provost.uchicago.edu/sites/default/files/EducationalAssistancePlan.pdf,2026-09-21,false,,,,
AT-027,policy-tenure-track,tenure-track,institution-policy,Owens Community College,"Instructor, Food, Nutrition and Hospitality",https://owens.wd1.myworkdayjobs.com/OCC/job/Owens-Toledo-Campus/Instructor--Food--Nutrition-and-Hospitality_JR101620,https://www.owens.edu/trustees/wp-content/uploads/sites/45/2026/01/5-59-Policy-Faculty-tenure.pdf,2026-09-21,true,,,,
AT-028,policy-tenure-track,tenure-track,institution-policy,University at Albany,Assistant Professor for Accounting - Accounting and Law,https://albany.interviewexchange.com/jobofferdetails.jsp?JOBID=204978,https://www.suny.edu/hr/compensation/unclassified/other/academic-rank-titles/,2026-09-21,false,,,,
AT-029,policy-tenure-track,tenure-track,institution-policy,Auburn University at Montgomery,"Assistant Professor, Biology",https://jobs.aum.edu/aum-careers-home/jobs/9655?lang=en-us,https://jobs.aum.edu/aum-careers-home/jobs/9655?lang=en-us,2026-09-20,false,,,,
AT-030,policy-tenure-track,tenure-track,institution-policy,Transylvania University,Assistant Professor of Business Administration - Management,https://www.transy.edu/employment-opportunities#op-702865-assistant-professor-of-business-administration-management,https://www.transy.edu/employment-opportunities/,2026-09-21,false,,,,
AT-031,policy-tenure-track,tenure-track,institution-policy,Saint Paul College,Full Time Medical Laboratory Technician Instructor - Technical College Faculty,https://minnstate.wd115.myworkdayjobs.com/Minnesota_State_Careers/job/St-Paul/Full-Time-Medical-Laboratory-Technician-Instructor---Technical-College-Faculty_JR0000005630,https://www.minnstate.edu/system/working/docs/contracts/mscf-contract.pdf,2026-09-21,true,,,,
AT-032,policy-tenure-track,tenure-track,institution-policy,Troy University,Lecturer/Assistant/Associate Professor,https://www.troyuniversityjobs.com/postings/47520,https://www.troyuniversityjobs.com/postings/47928,2026-09-20,false,,,,
AT-033,policy-tenure-track,tenure-track,institution-policy,North Carolina A&T State University,Associate Professor or Professor and Chair - Psychology,https://jobs.ncat.edu/postings/41604,https://jobs.ncat.edu/postings/41571/print_preview,2026-09-20,false,,,,
AT-034,policy-tenure-track,tenure-track,institution-policy,Georgia Institute of Technology-Main Campus,Full Professor (BME Brock Family Chair and Georgia Research Alliance (GRA) Eminent Scholar),https://careers.hprod.onehcm.usg.edu/psc/careers/CAREERS/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?FOCUS=Applicant&SiteId=03000#jobId=302236,https://faculty.gatech.edu/sites/default/files/2024-05/minimum_requirements_for_academic_faculty_ranks_-_2021-03-01.pdf,2026-09-20,false,,,,
AT-035,policy-tenure-track,tenure-track,institution-policy,"Rutgers, The State University of New Jersey",Associate Director for Clinical Research (Associate Professor - Professor Rank),https://jobs.rutgers.edu/postings/275346,https://laborrelations.rutgers.edu/sites/default/files/document/appointments_promotions_guidelines_00385501xb0a50.pdf,2026-09-16,true,,,,
AT-036,policy-tenure-track,tenure-track,institution-policy,University of Michigan,Assistant Professor in Supply Chain Management - School of Management (Hybrid),https://careers.umich.edu/job_detail/282932/assistant-professor-supply-chain-management-school-management-hybrid,https://spg.umich.edu/policy/201.13,2026-09-20,false,,,,
AT-037,policy-tenure-track,tenure-track,institution-policy,Binghamton University,Assistant Professor in Critical Mixed Race Studies of Asian America and Diasporas,https://binghamton.interviewexchange.com/jobofferdetails.jsp?JOBID=138160,https://www.suny.edu/hr/compensation/unclassified/other/academic-rank-titles/,2026-09-21,false,,,,
AT-038,policy-tenure-track,tenure-track,institution-policy,University of Notre Dame,Assistant Professor,https://apply.interfolio.com/192535,https://facultyhandbook.nd.edu/assets/665079/260701_academic_articles_und.pdf,2026-09-21,false,,,,
AT-039,policy-tenure-track,tenure-track,institution-policy,Texas State University,"Chair, Department of Psychology",https://jobs.hr.txstate.edu/postings/58445,https://jobs.hr.txstate.edu/,2026-09-21,false,,,,
AT-040,policy-tenure-track,tenure-track,institution-policy,University of South Alabama,Theatre and Dance (Assistant Professor of Theatre) posted,https://www.southalabama.edu/departments/academicaffairs/resources/academicaffairspostings/3379-theatredance-asstprof-081527.pdf,https://www.southalabama.edu/departments/academicaffairs/facultyposition.html,2026-09-20,false,,,,
AT-041,policy-non-tenure-track,non-tenure-track,institution-policy,Randolph Community College,"Instructor, Information Technology (9-Month)",https://www.schooljobs.com/careers/randolphedu/jobs/5471105/instructor-information-technology-9-month,https://wordpress.nccommunitycolleges.edu/wp-content/uploads/2025/08/ENTIRE-CODE-01AUG25-2.pdf,2026-09-10,false,,,,
AT-042,policy-non-tenure-track,non-tenure-track,institution-policy,The University of Texas Medical Branch at Galveston,"Assistant Professor of Clinical Practice, Internal Medicine-Rheumatology",https://applyjobs.utmb.edu/jobs/assistant-professor-of-clinical-practice-internal-medicine-rheumatology-35989,https://www.utmb.edu/facultyaffairs/faculty-appointments-(apt)/faculty-titles---appointments,2026-09-09,true,,,,
AT-043,policy-non-tenure-track,non-tenure-track,institution-policy,Louisiana State University-Eunice,Medical Billing & Coding Full-Time Instructor,https://lsu.wd1.myworkdayjobs.com/LSU/job/0104C-Health-Science-And-Technology-Building/Medical-Billing---Coding-Full-Time-Instructor_R00120394,https://nces.ed.gov/ipeds/complete-data-files/S2024_SIS.zip,2026-09-21,true,,,,
AT-044,policy-non-tenure-track,non-tenure-track,institution-policy,The University of Texas Medical Branch at Galveston,"Assistant Professor Research, Pathology Faculty",https://applyjobs.utmb.edu/jobs/assistant-professor-research-pathology-faculty-36180,https://www.utmb.edu/facultyaffairs/faculty-appointments-(apt)/faculty-titles---appointments,2026-09-09,true,,,,
AT-045,policy-non-tenure-track,non-tenure-track,institution-policy,University of Miami,"Assistant Professor of Clinical - Pathology and Laboratory Medicine, Microbiology (Clinical)",https://umiami.wd1.myworkdayjobs.com/UMFaculty/job/Miami-FL/Assistant-Professor-of-Clinical---Pathology-and-Laboratory-Medicine--Microbiology--Clinical-_R100100151,https://med.miami.edu/offices/faculty-affairs/services/appointment-promotion-and-tenure,2026-09-09,true,,,,
AT-046,policy-non-tenure-track,non-tenure-track,institution-policy,Santa Rosa Junior College,Associate Faculty - Geography,https://www.communitycollegecareerconnect.com/jobs/cmp324gqf003401nz2j2rxt0r,https://hr.santarosa.edu/benefits-associate-faculty,2026-09-10,false,,,,
AT-047,policy-non-tenure-track,non-tenure-track,institution-policy,South Texas College,"Full-Time Lecturer Positions (Division of Math, Science, IT & Bachelor Programs)",https://southtexascollege.wd12.myworkdayjobs.com/STC/job/Pecan-Campus-McAllen-Texas/Full-Time-Lecturer-Positions--Division-of-Math--Science--IT---Bachelor-Programs---2026---2027-_JR101156,https://academicaffairs.southtexascollege.edu/handbook/pdf/faculty-handbook.pdf,2026-09-20,false,,,,
AT-048,policy-non-tenure-track,non-tenure-track,institution-policy,Gateway Community and Technical College,Instructor - Interdisciplinary Early Childhood Education and Program Coordinator,https://careers.kctcs.edu/jobs/instructor-interdisciplinary-early-childhood-education-and-program-coordinator-covington-kentucky-united-states-f8ab00a1-1463-47be-8f2e-b0bf4157bf62,https://nces.ed.gov/ipeds/reported-data/html/157438?year=2024&surveyNumber=9&viewmode=print,2026-09-20,false,,,,
AT-049,policy-non-tenure-track,non-tenure-track,institution-policy,University of Miami,Instructor - Ophthalmology,https://umiami.wd1.myworkdayjobs.com/UMFaculty/job/Miami-FL/Instructor---Ophthalmology_R100094893,https://med.miami.edu/-/media/millerschool/offices/faculty-affairs/documents/remediated-bylaws.ashx?rev=5fce168d2fd545f8b35d2e1da79b9821,2026-09-21,false,,,,
AT-050,policy-non-tenure-track,non-tenure-track,institution-policy,University of Chicago,Faculty in Neuro-oncology Research #NSU024,https://academicjobs.uchicago.edu/positions/190260,https://biologicalsciences.uchicago.edu/resources/oaa-academic-appointment-types-and-tracks,2026-09-21,true,,,,
AT-051,policy-non-tenure-track,non-tenure-track,institution-policy,Heritage University,Nursing Faculty-Psychiatric and Mental Health,https://heritage.edu/wp-content/uploads/2026/04/HR_Nursing_Faculty.10.5mo_Psychiatric-Mental-Health_Rev.4.2026.pdf,https://nces.ed.gov/ipeds/reported-data/html/235422?year=2024&surveyNumber=9&viewmode=print,2026-09-20,true,,,,
AT-052,policy-non-tenure-track,non-tenure-track,institution-policy,Eastern Maine Community College,Nursing Clinical Placement Coordinator / Educational Instructor,https://www.paycomonline.net/v4/ats/web.php/portal/63ECAB478B34C12845EA27D81D92E35F/jobs/366029,https://nces.ed.gov/ipeds/reported-data/html/161138?year=2024&surveyNumber=9&viewmode=print,2026-09-20,true,,,,
AT-053,policy-non-tenure-track,non-tenure-track,institution-policy,University of Kansas,Instructor - Pharmacy Law,https://employment.ku.edu/jobs/faculty/instructor-pharmacy-law/32835br,https://nces.ed.gov/ipeds/complete-data-files/S2024_SIS.zip,2026-09-21,true,,,,
AT-054,policy-non-tenure-track,non-tenure-track,institution-policy,Forsyth Technical Community College,"Instructor, Race Car Technology",https://careers.forsythtech.edu/postings/11161,https://wordpress.nccommunitycolleges.edu/wp-content/uploads/2025/08/ENTIRE-CODE-01AUG25-2.pdf,2026-09-10,false,,,,
AT-055,policy-non-tenure-track,non-tenure-track,institution-policy,Ohio State University,Lecturer (9M),https://osu.wd1.myworkdayjobs.com/OSUCareers/job/Columbus-Campus/Lecturer--9M-_R157538-1,https://faculty.osu.edu/faculty-titles-contracts-and-renewals,2026-09-09,false,,,,
AT-056,policy-non-tenure-track,non-tenure-track,institution-policy,University of Rochester,ELC Instructor,https://apply.interfolio.com/190629,https://www.rochester.edu/provost/faculty-support/academic-job-codes/,2026-09-21,false,,,,
AT-057,policy-non-tenure-track,non-tenure-track,institution-policy,University at Buffalo,"Clinical Assistant or Associate Professor, Behavioral Neurologist - Department of Neurology",https://www.ubjobs.buffalo.edu/postings/63287,https://www.suny.edu/hr/compensation/unclassified/other/qualified-academic-rank-titles/,2026-09-09,true,,,,
AT-058,policy-non-tenure-track,non-tenure-track,institution-policy,Wayne State University,"Assistant Professor, Clinician Educator - Dept. of Psychiatry",https://waynetalent.csod.com/ux/ats/careersite/2/home/requisition/1803?c=waynetalent,https://bog.wayne.edu/code/2-51-01,2026-09-15,true,,,,
AT-059,policy-non-tenure-track,non-tenure-track,institution-policy,Lamar Community College,Instructor Resources,https://lamarcc.edu/adjunct-faculty,https://cccs.edu/about/governance/policies-procedures/bp-3-10-administration-of-personnel/,2026-09-15,false,,,,
AT-060,policy-non-tenure-track,non-tenure-track,institution-policy,Lamar State College-Port Arthur,"Instructor, Upward Mobility Nursing (Jasper)",https://www.schooljobs.com/careers/lamarpa/jobs/5091784/instructor-upward-mobility-nursing-jasper,https://www.lamarpa.edu/about/policies/_documents/Faculty%20Handbook_updated_3-17-2025.pdf,2026-09-21,true,,,,
AT-061,policy-non-tenure-track,non-tenure-track,institution-policy,The University of Texas Medical Branch at Galveston,"Assistant Professor of Clinical Practice, Surgery-Trauma",https://applyjobs.utmb.edu/jobs/assistant-professor-of-clinical-practice-surgery-trauma-34286,https://www.utmb.edu/facultyaffairs/faculty-appointments-(apt)/faculty-titles---appointments,2026-09-09,true,,,,
AT-062,policy-non-tenure-track,non-tenure-track,institution-policy,SUNY College of Optometry,"Clinical Faculty - Syracuse, NY",https://sunyopt.peopleadmin.com/postings/2588,https://www.suny.edu/hr/compensation/unclassified/other/qualified-academic-rank-titles/,2026-09-09,true,,,,
AT-063,policy-non-tenure-track,non-tenure-track,institution-policy,Lenoir Community College,Biology Instructor,https://www.schooljobs.com/careers/lenoirccedu/jobs/5480770/biology-instructor,https://wordpress.nccommunitycolleges.edu/wp-content/uploads/2025/08/ENTIRE-CODE-01AUG25-2.pdf,2026-09-10,false,,,,
AT-064,policy-non-tenure-track,non-tenure-track,institution-policy,UCLA,Lecturers for Engineering at Large 26-27 AY,https://recruit.apo.ucla.edu/JPF11135,https://www.ucop.edu/academic-personnel-programs/_files/apm/apm-220.pdf,2026-09-15,false,,,,
AT-065,policy-non-tenure-track,non-tenure-track,institution-policy,Baptist Health Sciences University,"Nursing Faculty, Adult Gerontology Primary Care Nurse Practitioner",https://careers.baptistonline.org/jobs/17703011-nursing-faculty-adult-gerontology-primary-care-nurse-practitioner,https://nces.ed.gov/ipeds/reported-data/html/219639?year=2024&surveyNumber=9&viewmode=print,2026-09-20,true,,,,
AT-066,policy-non-tenure-track,non-tenure-track,institution-policy,Crowder College,Nursing Instructor- McDonald County,https://crowder.wpenginepowered.com/wp-content/uploads/2026/08/Nursing-Instructor-JD-2024-1.pdf,https://nces.ed.gov/ipeds/complete-data-files/S2024_SIS.zip,2026-09-20,true,,,,
AT-067,policy-non-tenure-track,non-tenure-track,institution-policy,Ave Maria University,Faculty Position-Asst. Professor of History,https://workforcenow.adp.com/mascsr/default/mdf/recruitment/recruitment.html?cid=70cb71c1-96f8-4956-8cce-ce625b0b2943&ccId=19000101_000001&jobId=9205232565928_1&lang=en_US&source=CC2,https://nces.ed.gov/ipeds/reported-data/html/446048?year=2024&surveyNumber=9&viewmode=print,2026-09-20,false,,,,
AT-068,policy-non-tenure-track,non-tenure-track,institution-policy,Keck Graduate Institute,"Assistant/Associate/Full Professor and Program Director, Master of Science in Physician Associate Studies",https://theclaremontcolleges.wd1.myworkdayjobs.com/KGI_Careers/job/555-Arrow-Building---LC73000/Assistant-Associate-Full-Professor-and-Program-Director--Master-of-Science-in-Physician-Associate-Studies_REQ-8313,https://nces.ed.gov/ipeds/reported-data/html/440031?year=2024&surveyNumber=9&viewmode=print,2026-09-20,true,,,,
AT-069,policy-non-tenure-track,non-tenure-track,institution-policy,Concordia University-Wisconsin,Faculty: Master of Social Work Program Director,https://cuw.applicantpro.com/jobs/4194547,https://nces.ed.gov/ipeds/complete-data-files/S2024_SIS.zip,2026-09-20,false,,,,
AT-070,policy-non-tenure-track,non-tenure-track,institution-policy,Oral Roberts University,Professor of Communication (Rank of Full Professor),https://oru.hrmdirect.com/employment/job-opening.php?req=3208114&req_loc=402536&&cust_sort1=154253&cust_sort2=-1&cust_sort3=-1&&nohd#job,https://oru.edu/pdfs/faculty-and-staff/faculty/new-docs/faculty-admin-handbook-2023-2024.pdf,2026-09-21,false,,,,
AT-071,policy-non-tenure-track,non-tenure-track,institution-policy,SUNY Downstate Health Sciences University,"Scan Lab Instructor, Diagnostic Medical Imagining Program",https://careers.pageuppeople.com/977/cw/en-us/job/497260,https://nces.ed.gov/ipeds/complete-data-files/S2024_SIS.zip,2026-09-21,true,,,,
AT-072,policy-non-tenure-track,non-tenure-track,institution-policy,Texarkana College,Continuing Education Dental Assisting Instructor,https://www.texarkanacollege.edu/employment/continuing-education-dental-assisting-instructor,https://nces.ed.gov/ipeds/complete-data-files/S2024_SIS.zip,2026-09-21,true,,,,
AT-073,policy-non-tenure-track,non-tenure-track,institution-policy,East Tennessee State University,Professor of Pathology and Histology,https://fa-evyu-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/1245,https://nces.ed.gov/ipeds/complete-data-files/S2024_SIS.zip,2026-09-21,true,,,,
AT-074,policy-non-tenure-track,non-tenure-track,institution-policy,University of Miami,Assistant Professor of Clinical - Anesthesiology,https://umiami.wd1.myworkdayjobs.com/UMFaculty/job/Miami-FL/Assistant-Professor-of-Clinical---Anesthesiology_R100087319-1,https://med.miami.edu/offices/faculty-affairs/services/appointment-promotion-and-tenure,2026-09-09,true,,,,
AT-075,policy-non-tenure-track,non-tenure-track,institution-policy,Ilisagvik College,Associate Dean of Academic Affairs,https://ilisagvik.bamboohr.com/careers/349,https://nces.ed.gov/ipeds/reported-data/html/434584?year=2024&surveyNumber=9&viewmode=print,2026-09-20,false,,,,
AT-076,policy-non-tenure-track,non-tenure-track,institution-policy,"Springfield College-Regional, Online, and Continuing Education",Assistant Professor in Athletic Training and Director of Athletic Healthcare,https://www.schooljobs.com/careers/springfieldcollege/jobs/5484183/assistant-professor-in-athletic-training-and-director-of-athletic-healthcare,https://nces.ed.gov/ipeds/complete-data-files/S2024_SIS.zip,2026-09-21,true,,,,
AT-077,policy-non-tenure-track,non-tenure-track,institution-policy,University of Notre Dame,"Assistant Research Professor, Lucy Family Institute for Data & Society",https://apply.interfolio.com/190492,https://facultyhandbook.nd.edu/assets/665079/260701_academic_articles_und.pdf,2026-09-19,false,,,,
AT-078,policy-non-tenure-track,non-tenure-track,institution-policy,Maysville Community and Technical College,Medical Laboratory Technician-Instructor,https://careers.kctcs.edu/jobs/medical-laboratory-technician-instructor-maysville-kentucky-united-states-morehead,https://nces.ed.gov/ipeds/complete-data-files/S2024_SIS.zip,2026-09-21,true,,,,
AT-079,policy-non-tenure-track,non-tenure-track,institution-policy,Excelsior University,Faculty and Student Support Associate,https://www.excelsior.edu/job/faculty-and-student-support-associate-2,https://nces.ed.gov/ipeds/reported-data/html/196680?year=2024&surveyNumber=9&viewmode=print,2026-09-20,false,,,,
AT-080,policy-non-tenure-track,non-tenure-track,institution-policy,University of Miami,"Assistant Professor of Clinical - Psychiatry, Psycho-Oncology",https://umiami.wd1.myworkdayjobs.com/UMFaculty/job/North-Miami-FL/Assistant-Professor-of-Clinical---Psychiatry--Psycho-Oncology_R100091932,https://med.miami.edu/offices/faculty-affairs/services/appointment-promotion-and-tenure,2026-09-09,true,,,,
AT-081,variable-track,variable,variable-language,Ohio State University,"Physician or Physician Scientist - Cardiovascular Medicine, Program Director, Cardiac CT (Open Rank/Track Faculty)",https://osu.wd1.myworkdayjobs.com/OSUCareers/job/College-of-MedicineOffice-of-Health-Sciences/Physician---Cardiovascular-Medicine--General-Non-Invasive-Cardiology-----Open-Rank-Track-Faculty-_R110957-1,,,true,,,,
AT-082,variable-track,variable,variable-language,Ohio State University,"Physician – Internal Medicine, Hospital Medicine, Hospital Medicine (Open Rank/Track Faculty)",https://osu.wd1.myworkdayjobs.com/OSUCareers/job/Medical-Center-Campus/Physician---Internal-Medicine--Hospital-Medicine--Hospital-Medicine--Open-Rank-Track-Faculty-_R101072-1,,,true,,,,
AT-083,variable-track,variable,variable-language,Xavier University,"Biomedical Science Faculty, All Rank, Molecular Biology and Genetics",https://xavier.wd108.myworkdayjobs.com/XavierCareers/job/Cincinnati-OH/Biomedical-Science-Faculty--All-Rank--Molecular-Biology-and-Genetics_JR100788,,,false,,,,
AT-084,variable-track,variable,variable-language,University of Nebraska Medical Center,Neurotologist / Faculty Rank DOQ,https://unmc.peopleadmin.com/postings/94947,,,true,,,,
AT-085,variable-track,variable,variable-language,Texas A&M University-Texarkana,Lecturer of Nursing/Assistant Professor of Nursing,https://tamus.wd1.myworkdayjobs.com/TAMUT_External/job/Texarkana-TX/Lecturer-of-Nursing-Assistant-Professor-of-Nursing--Nursing_R-093631-1,,,true,,,,
AT-086,variable-track,variable,variable-language,Ohio State University,"Physician - Department of Radiology, Neuroradiologist - Onsite (Open Rank/Track Faculty)",https://osu.wd1.myworkdayjobs.com/OSUCareers/job/College-of-MedicineOffice-of-Health-Sciences/Physician---Radiology--Neuroradiologist--Day-Shift--Open-Rank-Track-Faculty-_R103294-1,,,true,,,,
AT-087,variable-track,variable,variable-language,Ohio State University,"Physician - Department of Radiology, Breast Imaging Radiologist (Open Rank/Track Faculty)",https://osu.wd1.myworkdayjobs.com/OSUCareers/job/College-of-MedicineOffice-of-Health-Sciences/Physician---Radiology--Breast-Imaging-Radiologist--Open-Rank-Track-Faculty-_R103188-1,,,true,,,,
AT-088,variable-track,variable,variable-language,East Tennessee State University,Assistant/Associate Professor of Physiology,https://fa-evyu-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/1258,,,false,,,,
AT-089,variable-track,variable,variable-language,Medical College of Wisconsin,Family Medicine Clinical Research - Associate Professor/Professor,https://mcw.wd503.myworkdayjobs.com/ExternalCareers/job/Milwaukee-WI/Associate-Professor-Professor---Family-Medicine-Clinical-Research-Faculty_JR100403,,,true,,,,
AT-090,variable-track,variable,variable-language,University of Nebraska Medical Center,Clinical Psychologist/Faculty Rank DOQ,https://unmc.peopleadmin.com/postings/97185,,,true,,,,
